Date and Time,Speed,Angle,Command Message
08/02/2019 17:21:22,10,-69,RUN
08/02/2019 17:21:22,10,-79,RUN
08/02/2019 17:21:23,10,-80,RUN
08/02/2019 17:21:23,10,-92,RUN
08/02/2019 17:21:23,10,-93,RUN
08/02/2019 17:21:24,10,-99,RUN
08/02/2019 17:21:24,10,-99,RUN
08/02/2019 17:21:25,10,-99,RUN
08/02/2019 17:21:25,10,-99,RUN
08/02/2019 17:21:25,10,-99,RUN
08/02/2019 17:21:26,10,-99,RUN
08/02/2019 17:21:26,10,-99,RUN
08/02/2019 17:21:26,10,-99,RUN
08/02/2019 17:21:27,10,-99,RUN
08/02/2019 17:21:27,10,-99,RUN
08/02/2019 17:21:27,10,-99,RUN
08/02/2019 17:21:28,10,-99,RUN
08/02/2019 17:21:28,10,-99,RUN
08/02/2019 17:21:28,10,-99,RUN
08/02/2019 17:21:28,10,-99,RUN
08/02/2019 17:21:29,10,-99,RUN
08/02/2019 17:21:29,10,-99,RUN
08/02/2019 17:21:30,10,-99,RUN
08/02/2019 17:21:31,10,-99,RUN
08/02/2019 17:21:31,10,-99,RUN
08/02/2019 17:21:31,10,-99,RUN
08/02/2019 17:21:32,10,-99,RUN
08/02/2019 17:21:32,10,-99,RUN
08/02/2019 17:21:32,10,-99,RUN
08/02/2019 17:21:33,10,-99,RUN
08/02/2019 17:21:33,10,-99,RUN
08/02/2019 17:21:33,10,-99,RUN
08/02/2019 17:21:34,10,-99,RUN
08/02/2019 17:21:34,10,-99,RUN
08/02/2019 17:21:34,10,-99,RUN
08/02/2019 17:21:35,10,-99,RUN
08/02/2019 17:21:39,10,-80,RUN
08/02/2019 17:21:39,-2,-1,RUN
08/02/2019 17:21:40,-6,13,RUN
08/02/2019 17:21:43,-7,13,RUN
08/02/2019 17:21:43,-11,16,RUN
08/02/2019 17:21:43,-12,17,RUN
08/02/2019 17:21:43,-17,25,RUN
08/02/2019 17:21:45,-17,23,RUN
08/02/2019 17:21:45,-6,3,RUN
08/02/2019 17:21:46,-5,3,RUN
08/02/2019 17:21:46,-2,3,RUN
08/02/2019 17:21:46,-1,3,RUN
08/02/2019 17:21:47,0,3,RUN
08/02/2019 17:21:48,3,3,RUN
08/02/2019 17:21:49,2,3,RUN
08/02/2019 17:21:49,-1,3,RUN
08/02/2019 17:21:52,-1,2,RUN
08/02/2019 17:21:52,-2,2,RUN
08/02/2019 17:21:53,-3,2,RUN
08/02/2019 17:21:53,-4,-1,RUN
08/02/2019 17:21:54,-3,-1,RUN
08/02/2019 17:21:55,-1,-1,RUN
08/02/2019 17:21:57,-1,-3,RUN
08/02/2019 17:21:58,-1,-7,RUN
08/02/2019 17:24:44,-1,-6,RUN
08/02/2019 17:47:23,0,-6,RUN
08/02/2019 17:47:23,1,-6,RUN
08/02/2019 17:47:24,2,-6,RUN
08/02/2019 17:47:25,7,-6,RUN
08/02/2019 17:47:25,8,-6,RUN
08/02/2019 17:47:26,9,-6,RUN
08/02/2019 17:47:27,10,-6,RUN
08/02/2019 17:47:27,-2,-5,RUN
08/02/2019 17:47:37,-2,-3,RUN
08/02/2019 17:47:37,10,3,RUN
08/02/2019 17:47:37,10,1,RUN
08/02/2019 17:47:37,10,-4,RUN
08/02/2019 17:47:38,10,-4,RUN
08/02/2019 17:47:38,10,-4,RUN
08/02/2019 17:47:38,10,-5,RUN
08/02/2019 17:47:39,3,-4,RUN
08/02/2019 17:47:39,2,-4,RUN
08/02/2019 17:47:42,2,-5,RUN
08/02/2019 17:47:43,3,-5,RUN
08/02/2019 17:47:43,5,-7,RUN
08/02/2019 17:47:43,6,-8,RUN
08/02/2019 17:47:44,7,-10,RUN
08/02/2019 17:47:44,7,-11,RUN
08/02/2019 17:47:45,7,-12,RUN
08/02/2019 17:47:47,7,-13,RUN
08/02/2019 17:47:47,7,-19,RUN
08/02/2019 17:47:49,8,-19,RUN
08/02/2019 17:47:49,9,-19,RUN
08/02/2019 17:47:50,10,-19,RUN
08/02/2019 17:47:51,10,-19,RUN
08/02/2019 17:47:51,10,-19,RUN
08/02/2019 17:47:51,10,-19,RUN
08/02/2019 17:47:52,10,-19,RUN
08/02/2019 17:47:52,10,-19,RUN
08/02/2019 17:47:52,10,-19,RUN
08/02/2019 17:47:53,10,-22,RUN
08/02/2019 17:47:53,1,-11,RUN
08/02/2019 17:48:00,0,-11,RUN
08/02/2019 17:48:01,0,-10,RUN
08/02/2019 17:48:01,-2,-7,RUN
08/02/2019 17:48:01,-3,-7,RUN
08/02/2019 17:48:03,-4,-7,RUN
08/02/2019 17:48:04,-5,-7,RUN
08/02/2019 17:48:04,-6,-6,RUN
08/02/2019 17:48:05,-7,-6,RUN
08/02/2019 17:48:07,-5,-6,RUN
08/02/2019 17:48:08,-3,-6,RUN
08/02/2019 17:48:09,-4,-5,RUN
08/02/2019 17:48:09,-14,-1,RUN
08/02/2019 17:48:10,-11,-1,RUN
08/02/2019 17:48:11,-6,-1,RUN
08/02/2019 17:48:14,-6,-2,RUN
08/02/2019 17:48:18,-5,-2,RUN
08/02/2019 17:48:18,-3,-2,RUN
08/02/2019 17:48:21,-3,0,RUN
08/02/2019 17:48:22,-3,5,RUN
08/02/2019 17:48:22,-3,-1,RUN
08/02/2019 17:49:53,-3,-3,RUN
08/02/2019 17:49:53,-3,-10,RUN
08/02/2019 17:49:54,-3,-9,RUN
08/02/2019 17:49:54,-3,-8,RUN
08/02/2019 17:49:54,-3,-6,RUN
08/02/2019 17:50:03,-2,-6,RUN
08/02/2019 17:50:03,-1,-6,RUN
08/02/2019 17:50:03,7,-2,RUN
08/02/2019 17:50:04,7,-4,RUN
08/02/2019 17:50:04,7,-5,RUN
08/02/2019 17:50:07,7,-4,RUN
08/02/2019 17:50:07,7,3,RUN
08/02/2019 17:50:07,7,10,RUN
08/02/2019 17:50:08,8,10,RUN
08/02/2019 17:50:08,10,10,RUN
08/02/2019 17:50:08,10,7,RUN
08/02/2019 17:50:09,10,7,RUN
08/02/2019 17:50:09,10,7,RUN
08/02/2019 17:50:09,10,7,RUN
08/02/2019 17:50:09,10,7,RUN
08/02/2019 17:50:10,10,7,RUN
08/02/2019 17:50:10,10,7,RUN
08/02/2019 17:50:11,10,7,RUN
08/02/2019 17:50:14,10,7,RUN
08/02/2019 17:50:14,-23,21,RUN
08/02/2019 17:50:14,-14,3,RUN
08/02/2019 17:50:15,-6,0,RUN
08/02/2019 17:50:15,-6,1,RUN
08/02/2019 17:50:15,-6,3,RUN
08/02/2019 17:50:16,-6,1,RUN
08/02/2019 17:50:16,-5,-3,RUN
08/02/2019 17:50:25,-4,-3,RUN
08/02/2019 17:51:20,-4,-2,RUN
08/02/2019 17:51:20,-3,0,RUN
08/02/2019 17:51:22,-2,0,RUN
08/02/2019 17:51:22,0,0,RUN
08/02/2019 17:51:23,2,0,RUN
08/02/2019 17:51:23,3,0,RUN
08/02/2019 17:51:23,4,0,RUN
08/02/2019 17:51:24,5,0,RUN
08/02/2019 17:51:24,7,0,RUN
08/02/2019 17:51:24,8,0,RUN
08/02/2019 17:51:28,9,0,RUN
08/02/2019 17:51:28,10,0,RUN
08/02/2019 17:51:28,10,0,RUN
08/02/2019 17:51:28,10,0,RUN
08/02/2019 17:51:29,10,0,RUN
08/02/2019 17:51:29,10,0,RUN
08/02/2019 17:51:29,10,0,RUN
08/02/2019 17:51:30,10,0,RUN
08/02/2019 17:51:30,10,0,RUN
08/02/2019 17:51:30,10,0,RUN
08/02/2019 17:51:30,10,0,RUN
08/02/2019 17:51:31,10,0,RUN
08/02/2019 17:51:31,10,0,RUN
08/02/2019 17:51:31,0,7,RUN
08/02/2019 17:51:32,-6,13,RUN
08/02/2019 17:51:33,-6,12,RUN
08/02/2019 17:51:34,-6,11,RUN
08/02/2019 17:51:34,-6,7,RUN
08/02/2019 17:51:35,-12,7,RUN
08/02/2019 17:51:36,-13,7,RUN
08/02/2019 17:51:36,-14,7,RUN
08/02/2019 17:51:36,-15,7,RUN
08/02/2019 17:51:37,-15,9,RUN
08/02/2019 17:51:37,-16,14,RUN
08/02/2019 17:51:38,-17,21,RUN
08/02/2019 17:51:38,-18,28,RUN
08/02/2019 17:51:38,-20,44,RUN
08/02/2019 17:51:39,-25,57,RUN
08/02/2019 17:51:39,-27,59,RUN
08/02/2019 17:51:39,-27,58,RUN
08/02/2019 17:51:40,9,-13,RUN
08/02/2019 17:51:40,10,-13,RUN
08/02/2019 17:51:40,10,-13,RUN
08/02/2019 17:51:41,10,-13,RUN
08/02/2019 17:51:41,10,14,RUN
08/02/2019 17:51:41,10,41,RUN
08/02/2019 17:51:41,10,53,RUN
08/02/2019 17:51:42,10,63,RUN
08/02/2019 17:51:42,10,70,RUN
08/02/2019 17:51:42,10,70,RUN
08/02/2019 17:51:43,10,75,RUN
08/02/2019 17:51:43,10,75,RUN
08/02/2019 17:51:43,10,75,RUN
08/02/2019 17:51:44,10,75,RUN
08/02/2019 17:51:44,10,75,RUN
08/02/2019 17:51:44,10,75,RUN
08/02/2019 17:51:44,10,77,RUN
08/02/2019 17:51:45,10,78,RUN
08/02/2019 17:51:45,10,25,RUN
08/02/2019 17:51:45,10,15,RUN
08/02/2019 17:51:46,10,15,RUN
08/02/2019 17:51:46,10,15,RUN
08/02/2019 17:51:46,10,15,RUN
08/02/2019 17:51:47,10,15,RUN
08/02/2019 17:51:47,10,15,RUN
08/02/2019 17:51:47,10,15,RUN
08/02/2019 17:51:47,10,15,RUN
08/02/2019 17:51:48,10,15,RUN
08/02/2019 17:51:48,10,15,RUN
08/02/2019 17:51:48,10,15,RUN
08/02/2019 17:51:49,10,15,RUN
08/02/2019 17:51:49,10,15,RUN
08/02/2019 17:51:49,10,15,RUN
08/02/2019 17:51:49,10,15,RUN
08/02/2019 17:51:50,10,15,RUN
08/02/2019 17:51:50,10,15,RUN
08/02/2019 17:51:50,10,15,RUN
08/02/2019 17:51:51,10,15,RUN
08/02/2019 17:51:51,10,15,RUN
08/02/2019 17:51:51,10,16,RUN
08/02/2019 17:51:51,10,16,RUN
08/02/2019 17:51:52,10,16,RUN
08/02/2019 17:51:52,10,16,RUN
08/02/2019 17:51:52,10,16,RUN
08/02/2019 17:51:53,10,16,RUN
08/02/2019 17:51:53,10,16,RUN
08/02/2019 17:51:53,10,16,RUN
08/02/2019 17:51:53,10,16,RUN
08/02/2019 17:51:54,10,16,RUN
08/02/2019 17:51:54,10,16,RUN
08/02/2019 17:51:54,10,16,RUN
08/02/2019 17:51:55,10,16,RUN
08/02/2019 17:51:55,10,16,RUN
08/02/2019 17:51:55,10,16,RUN
08/02/2019 17:51:56,10,16,RUN
08/02/2019 17:51:56,10,16,RUN
08/02/2019 17:51:56,10,16,RUN
08/02/2019 17:51:56,10,16,RUN
08/02/2019 17:51:57,10,16,RUN
08/02/2019 17:51:57,10,16,RUN
08/02/2019 17:51:57,10,16,RUN
08/02/2019 17:51:58,10,16,RUN
08/02/2019 17:51:58,10,16,RUN
08/02/2019 17:51:58,10,16,RUN
08/02/2019 17:51:58,10,16,RUN
08/02/2019 17:51:59,10,16,RUN
08/02/2019 17:51:59,10,16,RUN
08/02/2019 17:51:59,10,16,RUN
08/02/2019 17:52:00,10,16,RUN
08/02/2019 17:52:00,10,16,RUN
08/02/2019 17:52:00,-29,25,RUN
08/02/2019 17:52:00,-29,28,RUN
08/02/2019 17:52:01,-29,24,RUN
08/02/2019 17:52:01,-6,-10,RUN
08/02/2019 17:52:03,-7,-10,RUN
08/02/2019 17:52:03,-12,-10,RUN
08/02/2019 17:52:03,-17,-8,RUN
08/02/2019 17:52:04,-22,-6,RUN
08/02/2019 17:52:06,-22,-5,RUN
08/02/2019 17:52:06,-4,18,RUN
08/02/2019 17:52:06,4,14,RUN
08/02/2019 17:52:07,8,14,RUN
08/02/2019 17:52:07,8,17,RUN
08/02/2019 17:52:07,8,30,RUN
08/02/2019 17:52:07,10,30,RUN
08/02/2019 17:52:08,10,30,RUN
08/02/2019 17:52:08,10,30,RUN
08/02/2019 17:52:08,10,33,RUN
08/02/2019 17:52:09,10,35,RUN
08/02/2019 17:52:09,10,43,RUN
08/02/2019 17:52:09,10,43,RUN
08/02/2019 17:52:10,10,43,RUN
08/02/2019 17:52:10,10,43,RUN
08/02/2019 17:52:10,10,12,RUN
08/02/2019 17:52:11,10,-18,RUN
08/02/2019 17:52:11,10,-17,RUN
08/02/2019 17:52:12,10,-17,RUN
08/02/2019 17:52:12,10,-17,RUN
08/02/2019 17:52:12,10,-17,RUN
08/02/2019 17:52:12,10,-17,RUN
08/02/2019 17:52:13,10,-17,RUN
08/02/2019 17:52:13,10,-17,RUN
08/02/2019 17:52:13,10,-17,RUN
